Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
КАМА;10010100112111100000016 / 111100001;р. КАМА - с. БОНДЮГ;76008;1045;46300;113.65;БС;25.11.1907;Действует;Уральское УГМС;60.47962;55.93262
АБАКАН;17010300212116100012818 / 116101281;р.Абакан - г.Абакан;9214;2.4;32000;240.99;БС;14.07.1908;Действует;Среднесибирское УГМС;53.7;91.48
АБАКАН;17010300212116100012818 / 116101281;р.Абакан - г.Абаза;9207;205;14400;444.97;БС;16.07.1908;Действует;Среднесибирское УГМС;52.62925;90.06813
Кеть (Бол. Кеть);13010600112115200024176 / 115202417;Р.КЕТЬ - ПОС.МАКСИМКИН ЯР;10453;611;38400;84.44;БС;14.08.1908;Действует;Западно-Сибирское УГМС;58.66803;86.82231
Кизир;17010300312116100016358 / 116101635;р.Кизир - с.Имисское;9264;9;9080;305.64;БС;31.07.1909;Действует;Среднесибирское УГМС;53.9;93.15
;;ОЗ.ИЛЬМЕНЬ - Д.ВОЙЦЫ;3900136;;67200;15;БС;01.01.1910;Действует;Северо-Западное УГМС;58.35;31.63
БУРЕЯ;20030500112118100041576 / 118104157;р.Бурея - с.Малиновка;6473;80;67400;106.43;БС 77;06.09.1910;Действует;Дальневосточное УГМС;49.78463;129.86182
Протока;06020001712108100001100 / 108100110;р.Кубань,рук.Протока - г.Славянск-на-Кубани;83818;115;;4.4;БС 77;14.02.1911;Действует;Северо-Кавказское УГМС;45.26081;38.13577
Кубань;06020002112108000001090 / 108100109;р.Кубань,рук.Петрушин - г.Темрюк;83813;7.2;;-0.45;БС;14.03.1911;Действует;Северо-Кавказское УГМС;45.28901;37.36195
Лена (Большая Лена);18030100112117100000011 / 117100001;р.Лена - р.п. Качуг;3003;3968;17400;506.05;БС;25.05.1911;Действует;Иркутское УГМС;53.95632;105.88885
Лена (Большая Лена);18030100112117100000011 / 117100001;р.Лена - р.п.Жигалово;3004;3803;30400;408.82;БС;26.05.1911;Действует;Иркутское УГМС;54.81;105.13
Лена (Большая Лена);18030100112117100000011 / 117100001;р.Лена - с.Орлинга;3007;3619;51100;330.56;БС;18.06.1911;Действует;Иркутское УГМС;56.05;105.83
Кубань;06020001612108000001090 / 108100109;р.Кубань - х.Тиховский;83801;111;;4.3;БС 77;06.07.1911;Действует;Северо-Кавказское УГМС;45.19004;38.2128
АЛДАН;18030600412117300000011 / 117300001;р.Алдан - с.Петропавловск;3223;852;276000;150.7;БС 77;12.07.1911;Действует;Якутское УГМС;60.38;134.45
Терек (Старый Терек);07020000212108200002513 / 108200251;р.Терек - г.Владикавказ;84108;530;1490;678.64;БС;31.07.1911;Действует;Северо-Кавказское УГМС;43.03;44.68
ЕНИСЕЙ;17010300512116100000014 / 116100001;р.Енисей - с.Павловщина;9063;2326;346000;105.25;БС;10.08.1911;Действует;Среднесибирское УГМС;56.75;93.58
ВИТИМ;18030200312117100015361 / 117101536;р.Витим - г.Бодайбо;3106;294;186000;235.03;БС;04.09.1911;Действует;Иркутское УГМС;57.84549;114.20847
Ловать;01040200312102000022592 / 102002259;Р.ЛOВATЬ - Г.ХOЛM;72459;193;14700;42.18;БС;12.09.1911;Действует;Северо-Западное УГМС;57.15705;31.18053
Тобол;14010500312111200000010 / 111200001;р. ТОБОЛ - г. КУРГАН;12014;704;159000;62.8;БС;14.09.1911;Действует;Уральское УГМС;55.43206;65.39389
Сунжа;07020001312108200005420 / 108200542;р.Сунжа - с.Брагуны;84259;28.4;12200;29.49;БС;14.01.1912;Действует;Северо-Кавказское УГМС;43.43;46.1
ЧУСОВАЯ;10010100512111100010035 / 111101003;р. ЧУСОВАЯ - с. КОСОЙ БРОД;76165;533;731;325.6;БС;12.03.1912;Действует;Уральское УГМС;56.48014;60.32692
Исеть;14010500612111200002684 / 111200268;р. ИСЕТЬ - г. ДАЛМАТОВО;12615;358;13100;80.82;БС;14.03.1912;Действует;Уральское УГМС;56.25;62.92
АМУР;20030500212118100000012 / 118100001;р.Амур - с.Гродеково;6023;1921;726000;114.63;БС 77;14.03.1912;Действует;Дальневосточное УГМС;50.12405;127.57077
АМУР;20030300112118100000012 / 118100001;р.Амур - с.Джалинда;6005;2618;406000;250.94;БС;14.04.1912;Действует;Дальневосточное УГМС;53.4679;123.91198
СЕЛЕМДЖА;20030400312118100033848 / 118103384;р.Селемджа - с.Экимчан;6363;449;11600;480.29;БС 77;14.04.1912;Действует;Дальневосточное УГМС;53.06384;132.93012
ЕНИСЕЙ;17010400212116100000014 / 116100001;р.Енисей - с.Ворогово;9087;1660;1510000;33.4;БС 77;07.06.1912;Действует;Среднесибирское УГМС;61.03;89.63
АМГУНЬ;20030800112118100081702 / 118108170;р.Амгунь - с.Осипенко;5451;327;22600;54.56;БС;26.06.1912;Действует;Дальневосточное УГМС;52.41;136.5
ЕНИСЕЙ;17010600112116100000014 / 116100001;р.Енисей - с.Верхнеимбатск;9095;1323;1810000;12.56;БС 77;03.07.1912;Действует;Среднесибирское УГМС;63.15;87.95
ЕНИСЕЙ;17010300212116100000014 / 116100001;р.Енисей - с.Селиваниха;9801;974;2340000;1.27;БС 77;04.07.1912;Действует;Среднесибирское УГМС;65.86;87.86
АМГУНЬ;20030800112118100081702 / 118108170;р.Амгунь - с.Удинское;5454;80;49200;0.75;БС 77;08.07.1912;Действует;Дальневосточное УГМС;52.91;138.84
ЕНИСЕЙ;17010800412116100000014 / 116100001;р.Енисей - г.Дудинка;9805;433;2480000;-2.71;БС 77;08.07.1912;Действует;Среднесибирское УГМС;69.4;86.16
Кубань;06020002112108000001090 / 108100136;р.Кубань,рук.Казачий Ерик - х.Дубовый Рынок;83833;6.9;;-5.43;БС;12.07.1912;Действует;Северо-Кавказское УГМС;45.22987;37.29477
Кеть (Бол. Кеть);13010600112115200024176 / 115202431;р.Кеть - с.Лосиноборское;10451;1001;14500;118.47;БС 77;27.07.1912;Действует;Среднесибирское УГМС;58.43;89.36
;;ОЗ. ГАЛИЧСКОЕ - Г. ГАЛИЧ;1500616;;872;99.73;БС;02.08.1912;Действует;Центральное УГМС;58.4;42.35
ОНЕГА;03010000112103000000017 / 103000001;р.Онега - с.Порог;70842;31;55700;10.25;БС 77;21.08.1912;Действует;Северное УГМС;63.82912;38.46988
Исеть;14010501112111200002684 / 111200268;р. ИСЕТЬ - г. ШАДРИНСК;12125;297;23400;72.77;БС 77;14.10.1912;Действует;Уральское УГМС;56.0761;63.63689
Исеть;14010501112111200002684 / 111200268;р. ИСЕТЬ - с. МЕХОНСКОЕ;12127;204;52300;63.75;БС;15.10.1912;Действует;Уральское УГМС;56.16437;64.58394
Кубань;06020000412108000001090 / 108100109;р.Кубань - г.Невинномысск;83153;701;11000;309.3;БС 77;14.01.1913;Действует;Северо-Кавказское УГМС;44.63;41.93
Кубань;06020000612108000001090 / 108100109;р.Кубань - г.Армавир;83161;584;16900;158.98;БС 77;14.01.1913;Действует;Северо-Кавказское УГМС;44.99875;41.14749
;;ОЗ. КУБЕНСКОЕ - Д. ПЕСКИ;3800164;;14700;107.62;БС;14.01.1913;Действует;Северное УГМС;59.81;39.06
Сухона;03020100312103000005020 / 103000502;р.Сухона - д.Каликино;70098;39;49200;54.29;БС;01.04.1913;Действует;Северное УГМС;60.67169;45.86517
СЕЛЕМДЖА;20030400312118100033848 / 118103384;р.Селемджа - Норск;6369;134;46500;200.49;БС 77;14.04.1913;Действует;Дальневосточное УГМС;52.33838;129.88315
Лена (Большая Лена);18030100212117100000011 / 117100001;р.Лена - с.Марково;3015;3319;82500;259.2;БС;19.05.1913;Действует;Иркутское УГМС;57.33;107.06
ИЖМА;03050300112103000075588 / 103007558;р. Ижма - с.Усть-Ухта;70509;316;15000;65.57;БС;23.05.1913;Действует;Северное УГМС;63.61895;53.89472
Лена (Большая Лена);18030100412117100000011 / 117100001;р.Лена - с.Змеиново;3021;3139;140000;245.25;БС;31.05.1913;Действует;Иркутское УГМС;57.78;108.3126
Б.УССУРКА;20030700312118100055803 / 118105580;р.Большая Уссурка - с.Рощино;5250;131;18700;131.73;БС 77;01.06.1913;Действует;Приморское УГМС;45.91285;134.89327
