Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
НУГУШ;10010200412111100017781 / 111101778;р.Нугуш - х.Андреевский;76320;43;2870;184.4;БС;15.10.1933;Действует;Башкирское УГМС;53.04066;56.38155
;;ОЗ. АРГАЯШ - ПГТ АРГАЯШ;4500499;;30;241.83;БС;20.10.1933;Действует;Уральское УГМС;55.48;60.9
;;ОЗ.ПЕРМУС-ОЗЕРО - Г.ОЛЕНЕГОРСК;3100754;;503;140.05;БС 77;22.10.1933;Действует;Мурманское УГМС;68.166726;33.358013
Ловать;01040200312102000022592 / 102002259;Р.ЛOВATЬ - Д.УЗКOЕ;72450;489;398;143.66;БС;29.10.1933;Действует;Северо-Западное УГМС;55.76;30.55
Вязьма;04010000112105000007140 / 105000714;р.Вязьма - с.Старая;79051;99;580;215.84;БС;01.11.1933;Действует;Центральное УГМС;55.17685;34.29241
Медведица;05010300112107000007903 / 107000790;р.Медведица - р.п. Лысые Горы;78196;463;7610;126.62;БС;02.11.1933;Действует;Приволжское УГМС;51.53919;44.81538
Медведица;05010300312107000007903 / 107000790;р. Медведица - х. Красный;78200;200;26800;86.67;БС;14.11.1933;Действует;Северо-Кавказское УГМС;50.33;44.15
ИССА;09010200112110000027308 / 110002730;Р.ИССА - С.ПАЕВО;75503;29;1790;128.62;БС;15.11.1933;Действует;Верхне-Волжское УГМС;54.02217;44.20946
Юрюзань;10010201112111100023101 / 111102310;р.Юрюзань - д.Чулпан;76462;158;4850;241.37;БС;15.11.1933;Действует;Башкирское УГМС;55.29136;58.10774
СТЕРЛЯ;10010200512111100018342 / 111101834;р.Стерля - д.Отрадовка;76324;7.2;595;130.71;БС;25.11.1933;Действует;Башкирское УГМС;53.60316;55.90358
Шкотовка (Цимухе, Цимухэ);20040000312118200009926 / 118200992;р.Шкотовка - р.п.Шкотово;5583;2.9;706;0.02;БС 77;18.12.1933;Действует;Приморское УГМС;43.31641;132.36959
Бохапча;19010100212119000008981 / 119000898;р.Бохапча - в 5.4 км от устья;1176;5.4;13600;333.98;БС;27.12.1933;Действует;Колымское УГМС;62.09485;150.68045
Мокза (Могза);08010300212110000010835 / 110001083;р.Мокза - д.Юркино;75751;37;396;108.55;БС;01.01.1934;Действует;Центральное УГМС;57.4239;39.07832
Шешма;11010000212112100003525 / 112100352;р. Шешма - с. Слобода Петропавловская;77179;86;3110;59.7;БС;01.01.1934;Действует;УГМС Республики Татарстан;55.05;51.36
;;ВДХР ВЫГОЗЕРСКОЕ - С.НАДВОЙЦЫ;3900459;;22100;87.7;БС;01.01.1934;Действует;Северо-Западное УГМС;58.35;31.63
Егорлык (Большой Егорлык);05010500612107000016716 / 107001671;р.Егорлык - с.Новый Егорлык;78590;32;14600;14.09;БС;10.01.1934;Действует;Северо-Кавказское УГМС;46.38797;41.86269
СЕЛЕНГА;16030000612116300006917 / 116300691;р.Селенга - рзд Мостовой;7051;127;440000;486.07;БС 77;06.02.1934;Действует;Забайкальское УГМС;52.0556;107.49525
Толва;02020000312101000009724 / 101000972;р.Толва - исток;71239;2.8;3080;134.92;БС 77;05.03.1934;Действует;Мурманское УГМС;67.64282;31.49807
Шача;08010300412110000013384 / 110001338;р.Шача - г.Приволжск;75266;11;601;82.72;БС;08.03.1934;Действует;Центральное УГМС;57.40004;41.26828
Ушаковка (Правая Ушаковка);16010100412116200001887 / 116200188;р.Ушаковка - г.Иркутск;8134;1.3;829;426.03;БС;23.03.1934;Действует;Иркутское УГМС;52.2881;104.35766
АМУР;20030900112118100000012 / 118100001;р.Амур - с.Елабуга;5016;875;1670000;25.49;БС 77;01.04.1934;Действует;Дальневосточное УГМС;48.79;135.86
Самара (Самарка);11010000912112100006161 / 112100616;р.Самара - пос.Новосергиевка;77245;449;2160;117.92;БС;01.04.1934;Действует;Приволжское УГМС;52.11;53.66
АМУР;20030600112118100000012 / 118100001;р.Амур - с.Нагибово;5002;1313;867000;50.88;БС;05.04.1934;Действует;Дальневосточное УГМС;47.73;131.51
АМУР;20030300112118100000012 / 118100001;р.Амур - с.Сергеевка;6020;2015;488000;133.18;БС 77;09.04.1934;Действует;Дальневосточное УГМС;50.7576;127.28776
АМУР;20030900212118100000012 / 118100001;р.Амур - с.Константиновка;6024;1831;734000;107.64;БС 77;14.04.1934;Действует;Дальневосточное УГМС;49.58584;128.00615
Олёкма;18030400312117200009486 / 117200948;р.Олекма - с.Куду-Кюель;3169;156;115000;135.01;БС;01.05.1934;Действует;Якутское УГМС;59.36;121.31
ГИЛЮЙ;20030400112118100027771 / 118102777;р.Гилюй - у перевоза;6331;104;21100;337.48;БС;01.05.1934;Действует;Дальневосточное УГМС;54.36375;126.7688
КАЗАНКА;11010000112112100003182 / 112100318;р. Казанка - г. Арск;77166;104;650;84.72;БС;01.05.1934;Действует;УГМС Республики Татарстан;56.1;49.86
р.Хор,протока без названия;20030700512199000000011 / 118109018;р.Хор,протока без названия - с.Бичевая;5339;106;21000;97.86;БС 77;06.05.1934;Действует;Дальневосточное УГМС;47.7759;135.6156
АМУРСКАЯ;20030600112018100051407 / 118105140;р.Амур,протока Амурская - с.Казакевичево;5009;1004;1630000;27.88;БС;15.05.1934;Действует;Дальневосточное УГМС;48.45;134.51
АМУР;20030600112118100000012 / 118109016;р.Амур,протока Нижнеспасская - с.Нижнеспасское;5008;1012;1440000;34.11;БС 77;20.05.1934;Действует;Дальневосточное УГМС;48.45;134.51
Уркан (Правый Уркан);20030400212118100030312 / 118103031;р.Уркан(Правый Уркан) - Арби;6345;46;15300;213.97;БС 77;23.05.1934;Действует;Дальневосточное УГМС;53.57797;126.74199
Акташ;07030000212109300000017 / 109300001;р.Акташ - с.Андрей Аул;84286;79.6;398;270;усл.;01.06.1934;Действует;Северо-Кавказское УГМС;43.16;46.65
УССУРИ;20030700612118100051424 / 118105142;р.Уссури - с.Новосоветское;5117;56;186000;33.72;БС;03.06.1934;Действует;Дальневосточное УГМС;47.89;134.64
АМУР;20030900212118100000012 / 118100001;р.Амур - с.Циммермановка;5029;407;1760000;5.11;БС 77;04.06.1934;Действует;Дальневосточное УГМС;51.35;139.11
Архара;20030600112118100047957 / 118104795;р.Архара - с.Аркадьевка;6511;43;8160;108.3;БС 77;11.06.1934;Действует;Дальневосточное УГМС;49.39874;130.13516
Хатанга (Котуй, Сейси);17040400112117600006917 / 117600691;р. Хатанга - ст. Хатанга;3802;217;275000;-1.48;БС;17.06.1934;Действует;Северное УГМС;71.9825;102.4639
Шелонь;01040200412102000024311 / 102002431;Р.ШЕЛOНЬ - Г.ПOРХOВ;72508;128;2950;43.5;БС;30.06.1934;Действует;Северо-Западное УГМС;57.78291;29.55384
Завитая;20030500212118100041377 / 118104137;р.Завитая - с.Михайловка;6443;82;2290;136.69;БС;01.07.1934;Действует;Дальневосточное УГМС;49.91849;128.82699
Суда;08010200212110000007388 / 110000738;р. Суда - д.Куракино;75169;61;4950;110.02;БС;05.07.1934;Действует;Северное УГМС;59.36561;36.78478
УССУРИ;20030700612118100051424 / 118105142;р.Уссури - Тарташевка;5112;312;106000;48.53;БС;10.07.1934;Действует;Приморское УГМС;46.25;133.85
БУРЕЯ;20030500112118100041576 / 118104157;р.Бурея - с.Усть-Умальта;6453;509;8900;363.56;БС 77;21.07.1934;Действует;Дальневосточное УГМС;51.63;133.31
Паша;01040100812102000013277 / 102001327;Р.ПAШA - НИЖЕ Д.ДУБРOВO;72155;137;3910;39.83;БС;27.07.1934;Действует;Северо-Западное УГМС;59.83797;33.54702
;;ОЗ.ОНЕЖСКОЕ (ВДХР ВЕРХНЕ-СВИРСКОЕ) - Г.КОНДОПОГА;3900720;;62800;31.8;БС;30.07.1934;Действует;Северо-Западное УГМС;62.2;34.3
Большой Патом;18030300212117200005671 / 117200567;р.Большой Патом - с.Патома;3157;34;27600;162.58;БС;03.08.1934;Действует;Якутское УГМС;60.08;116.9
ХОР;20030700512118100061871 / 118106187;р.Хор - пос.Среднехорский;5336;197;14500;-4.72;усл.;04.08.1934;Действует;Дальневосточное УГМС;47.67;136.18
ЗЕЯ;20030400412118100022394 / 118102239;р.Зея - с.Суражевка;6287;188;206000;140.26;БС 77;04.08.1934;Действует;Дальневосточное УГМС;51.32182;128.18751
БИКИН;20030700412118100058636 / 118105863;р.Бикин - ст.Звеньевой;5311;46;21400;52.76;БС 77;07.08.1934;Действует;Приморское УГМС;46.73293;134.34787
ЧИКОЙ;16030000212116300009089 / 116300908;р.Чикой - пос.Поворот;7076;22;44700;540.95;БС 77;07.08.1934;Действует;Забайкальское УГМС;50.91777;106.63549
АЛДАН;18030600412117300000011 / 117300001;р.Алдан - с.Усть-Миль;3222;966;269000;152.45;БС 77;20.08.1934;Действует;Якутское УГМС;59.63;133.03
КОНДА;14010600112115300015606 / 115301560;р. Конда - с. Болчары;11524;164;65400;26.75;БС;23.08.1934;Действует;Обь-Иртышское УГМС;59.81385;68.79066
Хета;17040100112117600020325 / 117602032;р. Хета - пос. Волочанка;3401;415;32900;18.8;БС 77;23.08.1934;Действует;Среднесибирское УГМС;70.97;94.5
Линда;08010300512110000017381 / 110001738;Р.ЛИНДА - С.ВАСИЛЬКОВО;75303;45;1010;76.1;БС;27.08.1934;Действует;Верхне-Волжское УГМС;56.5368;44.10326
Сосьва (Большая Сосьва);14010502512111200009650 / 111200965;р. СОСЬВА - пгт СОСЬВА;12434;140;22100;58.41;БС;01.09.1934;Действует;Уральское УГМС;59.17815;61.89729
ШИЛКА;20030100412118100003474 / 118100347;р.Шилка - пгт Усть-Карск;6069;284;183000;395.46;БС 77;01.09.1934;Действует;Забайкальское УГМС;52.71;118.81
КИЯ;13010400212115200018064 / 115201806;Р.КИЯ - Г.МАРИИНСК;10387;252;9820;119.63;БС;07.09.1934;Действует;Западно-Сибирское УГМС;56.21137;87.77199
Обь;13010700112115200000019 / 115200001;Р.ОБЬ - С.КАРГАСОК;10022;2180;641000;41.74;БС 77;12.09.1934;Действует;Западно-Сибирское УГМС;59.05;80.95
Быстрый Танып (Танып);10010201612111100025674 / 111102567;р.Быстрый Танып - д.Алтаево;76495;103;4860;74.34;БС;17.09.1934;Действует;Башкирское УГМС;55.9248;55.36195
ШИЛКА;20030100412118100003474 / 118100347;р.Шилка - с.Аникино;6074;115;203000;339.72;БС 77;18.09.1934;Действует;Забайкальское УГМС;53.436585;120.331578
Ивдель;14010502512111200009076 / 111200907;р. ИВДЕЛЬ - г. ИВДЕЛЬ;12422;17;2250;91.3;БС;19.09.1934;Действует;Уральское УГМС;60.7;60.41
Аргунь (Хайлар);20030200112118100000022 / 118100002;р.Аргунь - гм.ст.Урюпино;6042;146;145000;352.11;БС 77;24.09.1934;Действует;Забайкальское УГМС;52.76;120.01
Мста;01040200212102000019715 / 102001971;Р.MСTA - С.БOР;72276;221;16900;44.99;БС;26.09.1934;Действует;Северо-Западное УГМС;58.81;33.38
БУРЕЯ;20030500112118100041576 / 118104157;р.Бурея - с.Усть-Ниман;6456;459;26500;285.19;БС 77;27.09.1934;Действует;Дальневосточное УГМС;51.39917;132.73392
ЛУГА;01030000512102000025583 / 102002558;Р.ЛУГA - Г.ЛУГA;72566;222;2330;35.08;БС;30.09.1934;Действует;Северо-Западное УГМС;58.7336;29.85962
Великая;01030000212102000027628 / 102002762;Р.ВЕЛИКAЯ - Д.ПЯTOНOВO;72661;38;20000;39.64;БС;01.10.1934;Действует;Северо-Западное УГМС;57.7;28.21
;;ОЗ. КАРАЧИ - ПОС. ОЗЕРО-КАРАЧИ;2000361;;8.7;103.23;БС 77;01.10.1934;Действует;Западно-Сибирское УГМС;55.21;76.57
АМУР;20030300112118100000012 / 118100001;р. Амур - с. Игнашино;6003;2751;385000;285.16;БС;05.10.1934;Действует;Дальневосточное УГМС;53.4603;122.3961
Нерча;20030100412118100012629 / 118101262;р.Нерча - с.Зюльзя;6185;107;23000;512.98;БС 77;12.10.1934;Действует;Забайкальское УГМС;52.55;116.2
Лена (Большая Лена);18030900212117100000011 / 117100001;р.Лена - с.Кюсюр;3821;320;2430000;-1.41;БС 77;22.10.1934;Действует;Якутское УГМС;70.69643;127.34362
Сож;04010000412105000011550 / 105001155;р. Сож - с. Ускосы;79244;513;2600;154.62;БС;24.10.1934;Действует;Центральное УГМС;54.14983;32.07206
ЯЯ;13010400312115200020257 / 115202025;Р.ЯЯ - ПГТ ЯЯ;10407;200;3460;130.43;БС;25.10.1934;Действует;Западно-Сибирское УГМС;56.20984;86.46288
Туманная (Тумыньцзян, Тюмень-Ула, Туманган);20040000412118200011492 / 118201149;р.Туманная - ст.Хасан;5659;16;33800;-3.01;БС 77;01.11.1934;Действует;Приморское УГМС;42.416029;130.64307
;;ОЗ.ВЕДЛОЗЕРО - С.ВЕДЛОЗЕРО;3900692;;619;76.03;БС;01.11.1934;Действует;Северо-Западное УГМС;61.57;32.82
Лена (Большая Лена);18030500212117100000011 / 117100001;р.Лена - п.Кангалассы;3047;1457;912000;80.5;БС 77;08.11.1934;Действует;Якутское УГМС;62.36;130.01
АМАЗАР;20030300112118100018437 / 118101843;р.Амазар - пгт Амазар;6231;149;5170;430.94;БС 77;12.11.1934;Действует;Забайкальское УГМС;53.75118;119.75374
ЧУМЫШ;13010200412115200001671 / 115200167;Р.ЧУМЫШ - ПГТ ТАЛЬМЕНКА;10177;74;20600;132.35;БС;13.11.1934;Действует;Западно-Сибирское УГМС;53.80417;83.57474
Мая (Майя);18030600612117300022262 / 117302226;р.Мая - г.п.Чабда;3271;88;165000;167.34;БС 77;16.11.1934;Действует;Якутское УГМС;59.78;123.81
Обнора;08010300112110000012748 / 110001274;р.Обнора - с.Шарна;75259;24;1800;87.9;БС;01.12.1934;Действует;Центральное УГМС;58.36021;40.7864
Ток;20030400112118100023667 / 118102366;р.Ток - пр-к Николаевский;6299;45;3820;363.61;БС 77;08.12.1934;Действует;Дальневосточное УГМС;54.86498;129.40869
Ура;02010000612101000000936 / 101000093;р.Ура - с.Ура-Губа;71044;3;1020;1.45;БС 77;12.12.1934;Действует;Мурманское УГМС;69.26977;32.77889
Сев. Сосьва;15020200112115300023423 / 115302342;р. Северная Сосьва - с. Няксимволь;11538;652;9850;32.77;БС 77;01.01.1935;Действует;Обь-Иртышское УГМС;62.42707;60.86883
ИНСАР;08010500212110000038253 / 110003825;Р.ИНСАР - Д.ЯЗЫКОВКА;75649;18;3720;99.26;БС;01.01.1935;Действует;Верхне-Волжское УГМС;54.63;45.38
Сейм;04010001312106200004150 / 106200415;р. Сейм - г. Рыльск;80204;359;18100;135.41;БС;01.01.1935;Действует;Центрально-Черноземное УГМС;51.55887;34.69684
Подкумок;07010000412108200001753 / 108200175;р.Подкумок - г.Кисловодск;84043;100;1010;722.14;БС 77;01.01.1935;Действует;Северо-Кавказское УГМС;43.93;42.73
СУРА;08010500312110000035062 / 110003506;Р.Сура - г.Пенза;75620;608;15400;128.31;БС;06.01.1935;Действует;Приволжское УГМС;53.21;45.03
Уй;14010100312115300006072 / 115300607;р. Уй - с. Седельниково;11369;172;4460;74.02;БС;01.02.1935;Действует;Обь-Иртышское УГМС;56.95174;75.30433
Ветлуга;08010400112110000040560 / 110004056;р.Ветлуга - с. Михайловицы;75674;586;12600;105.31;БС;01.02.1935;Действует;Центральное УГМС;58.78252;45.67784
;;ОЗ. БАЙКАЛ - Р. П. НИЖНЕАНГАРСК;2200092;;571000;453.27;БС;01.03.1935;Действует;Иркутское УГМС;55.78333333;109.55
Воронья;02010000712101000003363 / 101000336;р.Воронья - исток;71131;152;3770;152.79;БС 77;07.03.1935;Действует;Мурманское УГМС;68.83517;35.57731
Варзуга (Малая Варзуга, Большая Варзуга);02020000212101000007653 / 101000765;р.Варзуга - с.Варзуга;71186;23;7940;8.71;БС 77;07.03.1935;Действует;Мурманское УГМС;66.40208;36.64348
Нерусса;04010001112106200002810 / 106200281;р. Нерусса - с. Радогощ;80160;114;1020;165.02;БС;15.03.1935;Действует;Центрально-Черноземное УГМС;52.51047;34.81085
Утроя (Ритупе);01030000212102000028662 / 102002866;Р.УTРOЯ - Д.БOЛЬШAЯ ГУБA;72696;11;2970;48.77;БС;05.04.1935;Действует;Северо-Западное УГМС;57.33364;28.2115
Каргат (Каргатенок);13020000512115200052989 / 115205298;Р.КАРГАТ - С.ЗДВИНСК;10549;45;6440;103.94;БС;06.04.1935;Действует;Западно-Сибирское УГМС;54.69751;78.65868
Оять;01040100812102000012850 / 102001285;Р.OЯTЬ - Д.AКУЛOВA ГOРA;72148;53;4830;8.93;БС;06.04.1935;Действует;Северо-Западное УГМС;60.48735;33.56152
Ботома;18030500112117200035581 / 117203558;р.Ботома - г.п.Бролог;3210;39;12200;110.81;БС 77;10.04.1935;Действует;Якутское УГМС;61.05;128.65
УДА;16030000412116300016177 / 116301617;р.Уда - г.Улан-Удэ;7130;5.1;34700;498.63;БС 77;23.04.1935;Действует;Забайкальское УГМС;51.82679;107.63459
Тюй (Большой Тюй);10010201112111100022807 / 111102280;р.Тюй - д.Гумбино;76454;9.8;2180;143.21;БС;25.04.1935;Действует;Башкирское УГМС;55.99261;57.05608
ОБЬ;15020300112115300000010 / 115200001;р. Обь - с. Горки;10034;487;2880000;0.68;БС 77;26.04.1935;Действует;Обь-Иртышское УГМС;65.05;65.26
Колыма (пр. Каменная Колыма);19010100312019000000019 / 119000001;р.Колыма - р.п.Сеймчан;1012;1556;129000;193.54;БС;28.04.1935;Действует;Колымское УГМС;62.88;152.42
ИНДИГИРКА;18050000112117700035295 / 117703529;р.Индигирка - с.Оймякон;3487;1624;24500;672;БС 77;01.05.1935;Действует;Якутское УГМС;63.25;143.15
АЛДАН;18030600212117300000011 / 117300001;р.Алдан - с.Чагда;3221;1213;115000;175.52;БС;12.05.1935;Действует;Якутское УГМС;58.73;130.61
Урал;12010000812112200001016 / 112200101;р.Урал - с.Донское;19061;1525;73900;130.58;БС;15.06.1935;Действует;Приволжское УГМС;51.38;56.86
Кокса (Хайдун);13010100312115100003465 / 115100346;Р.КОКСА - С.УСТЬ-КОКСА;10073;2;5600;957.81;БС;01.07.1935;Действует;Западно-Сибирское УГМС;50.26462;85.6056
Ингода;20030100212118100008687 / 118100868;р.Ингода - пгт Атамановка;6139;219;22000;630.1;БС 77;15.07.1935;Действует;Забайкальское УГМС;51.94943;113.59901
Арчеда (Арчада);05010300312107000009141 / 107000914;р.Арчеда - х.Нижнянский;78224;1.5;2050;64.51;БС;16.07.1935;Действует;Северо-Кавказское УГМС;49.87122;43.16234
Лена (Большая Лена);18030900112117100000011 / 117100001;р.Лена - с.Жиганск;3051;754;2260000;28.11;БС 77;17.07.1935;Действует;Якутское УГМС;66.76;123.4
;;ОЗ. СОСНОВОЕ - С. СОСНОВО-ОЗЕРСКОЕ;1800150;;224;946.44;БС;18.07.1935;Действует;Забайкальское УГМС;52.53;111.55
Караталаят (Караталыаят);14010500212111200000362 / 111200036;р. КАРАТАЛАЯТ - г. КАРТАЛЫ;12613;113;659;287.27;БС;02.08.1935;Действует;Уральское УГМС;53.05424;60.70295
ОРЕДЕЖ;01030000512102000025828 / 102002582;Р.OРЕДЕЖ - ПГT ВЫРИЦA;72588;124;920;50.85;БС;04.08.1935;Действует;Северо-Западное УГМС;59.41723;30.33496
Лена (Большая Лена);18030300212117100000011 / 117100001;р.Лена - п.Пеледуй;3028;2693;425000;171.3;БС;07.08.1935;Действует;Якутское УГМС;59.65;112.8
Плюсса (Плюсса-еги);01030000412102000026703 / 102002670;Р.ПЛЮССA - Д.БРOД;72625;112;5090;31.52;БС;14.08.1935;Действует;Северо-Западное УГМС;58.63;28.38
Иловля;05010300412107000009256 / 107000925;р.Иловля - с.Гвардейское;78225;341;344;138.44;БС;13.09.1935;Действует;Приволжское УГМС;50.64629;45.40683
ЛЯПИН;15020200112115300025632 / 115302563;р. Ляпин - с. Саранпауль;11548;148;18500;13.58;БС 77;15.09.1935;Действует;Обь-Иртышское УГМС;64.26415;60.92171
Киренга (Лев. Киренга);18030100312117100007438 / 117100743;р.Киренга - с.Казачинское;3086;228;28800;351.42;БС;21.09.1935;Действует;Иркутское УГМС;53.28;107.61
Актай;11010000312112100004446 / 112100444;р. Актай - с. Караваево;77201;38;690;69.16;БС;14.10.1935;Действует;УГМС Республики Татарстан;55.08;49.86
Анабар (Бол. Куонапка);18010000112117600037247 / 117603724;р.Анабар - с.Саскылах;3801;209;78800;3.45;БС;23.10.1935;Действует;Якутское УГМС;71.96;114.08
Берсут;11010000312112100003944 / 112100394;р. Берсут - с. Урманчеево;77193;10;445;58.22;БС;25.10.1935;Действует;УГМС Республики Татарстан;55.56;50.86
ЕНИСЕЙ;17010600112116100000014 / 116100001;р.Енисей - д.Подкаменная Тунгуска;9092;1568;1760000;19.84;БС;01.11.1935;Действует;Среднесибирское УГМС;61.6;90.08
Сарс;10010201112111100022937 / 111102293;р.Сарс - с.Султанбеково;76456;12;1300;146.6;БС;06.11.1935;Действует;Башкирское УГМС;56.02663;57.1419
БОЛЬШОЙ ИК;10010201012111100022396 / 111102239;р.Большой Ик - д.Таишево;76688;3.5;1450;199.56;БС;16.11.1935;Действует;Башкирское УГМС;55.76172;58.46377
ТЕША;09010300212110000030397 / 110003039;Р.ТЕША - С.НАТАЛЬИНО;75536;50;4700;83.24;БС;03.12.1935;Действует;Верхне-Волжское УГМС;55.52949;42.51009
;;ОЗ.СЯБЕРО - Д.СЯБЕРО;3901318;;48;44.83;БС;26.12.1935;Действует;Северо-Западное УГМС;58.78;29.15
УСТА;08010400212110000043045 / 110004304;Р.УСТА - С.БОЛЬШИЕ ОТАРЫ;75697;19;5900;70.09;БС;30.12.1935;Действует;Верхне-Волжское УГМС;56.95835;45.49564
ПЬЯНА;08010500412110000039357 / 110003935;Р.ПЬЯНА - С.ГАГИНО;75656;335;2880;108.28;БС;31.12.1935;Действует;Верхне-Волжское УГМС;55.23982;45.05245
Большая, Быстрая;19080000212120000025788 / 120002578;р.Большая Быстрая - с.Малки;2139;154;2800;5;усл.;01.01.1936;Действует;Камчатское УГМС;53.33;157.46
ВИТИМ;18030200112117100015361 / 117101536;р.Витим - с.Романовка;3096;1496;18200;876.29;БС 77;01.01.1936;Действует;Забайкальское УГМС;53.21671;112.77061
Ветлуга;08010400112110000040560 / 110004056;р.Ветлуга - с.Кажирово;75673;667;10300;112.43;БС;04.01.1936;Действует;Центральное УГМС;58.78;46.43
ИНДИГИРКА;18050000412117700035295 / 117703529;р.Индигирка - п.Чокурдах;3872;187;322000;-0.46;БС 77;10.01.1936;Действует;Якутское УГМС;70.61;147.88
ЕНИСЕЙ;17010800212116100000014 / 116100001;р.Енисей - г.Игарка;9803;697;2440000;0.03;БС 77;03.02.1936;Действует;Среднесибирское УГМС;67.43;86.48
Камчатка, Озёрная Камчатка;19070000112120000012690 / 120001269;р.Камчатка - с.Долиновка;2013;478;12000;94.34;абс.;12.02.1936;Действует;Камчатское УГМС;55.1;159.06
Великая;01030000212102000027628 / 102002762;Р.ВЕЛИКAЯ - Д.ГУЙTOВO;72660;94;13400;43.43;БС;24.03.1936;Действует;Северо-Западное УГМС;57.35559;28.27641
Пола (Верготь, Баклань);01040200312102000021830 / 102002183;Р.ПOЛA - Д.НAЛЮЧИ;72423;68;6740;18.44;БС;01.04.1936;Действует;Северо-Западное УГМС;57.83;31.85
Сев. Сосьва;15020200112115300023423 / 115302342;р. Северная Сосьва - пос. Сосьва;11542;324;65200;12.04;БС 77;15.04.1936;Действует;Обь-Иртышское УГМС;63.64564;62.10184
ЧУЛЫМ;13010400312115200013824 / 115201382;Р.ЧУЛЫМ - ПГТ БАТУРИНО;10331;136;131000;71.19;БС;25.04.1936;Действует;Западно-Сибирское УГМС;57.79684;85.11002
Оленёк;18020000112117600047229 / 117604722;р.Оленек - с.Оленек;3405;1505;89200;99.72;БС 77;17.05.1936;Действует;Якутское УГМС;68.5;112.43
КОНДА;14010600112115300015606 / 115301560;р. Конда - с. Алтай;11526;72;68600;19.63;БС;21.05.1936;Действует;Обь-Иртышское УГМС;60.33021;68.96647
Воямполка (Матёрая), Халгинчеваям;19080000112120000036020 / 120003602;р.Воямполка(Матерая) - с.Воямполка;2206;32;5120;8;усл.;01.06.1936;Действует;Камчатское УГМС;58.3;159.38
Виледь (Вилять);03020200212103000024426 / 103002442;р. Виледь - д.Инаевская;70252;60;4990;61.45;БС;27.06.1936;Действует;Северное УГМС;61.11457;47.90371
Ингода;20030100112118100008687 / 118100868;р.Ингода - с.Улеты;6134;391;12500;735.3;БС 77;20.07.1936;Действует;Забайкальское УГМС;51.34094;112.49437
Нижняя Тунгуска;17010700212116100061570 / 116106157;р.Нижняя Тунгуска - пгт Тура;9410;873;268000;124.84;БС 77;09.08.1936;Действует;Среднесибирское УГМС;64.26;100.26
Кубена (Кубина);03020100112103000005276 / 103000527;р.Кубена - с.Троице-Енальское;70117;258;1110;146.52;БС;15.08.1936;Действует;Северное УГМС;60.54266;40.41459
Тулва;10010101012111100014639 / 111101463;р. ТУЛВА - с. БАРДА;76256;41;1890;113.81;БС;16.08.1936;Действует;Уральское УГМС;56.92718;55.61969
Сутка;08010100912110000004697 / 110000469;р.Сутка - д.Речково;75110;36;391;107.74;БС;17.08.1936;Действует;Центральное УГМС;57.84975;38.25929
Ус (Уса);17010300112116100010655 / 116101065;р.Ус - д.Усть-Золотая;9166;43;6110;569.08;БС;18.08.1936;Действует;Среднесибирское УГМС;52.08;92.73
Мая (Майя);18030600512117300022262 / 117302226;р.Мая - с.Аим;3269;272;108000;209.7;БС 77;22.08.1936;Действует;Дальневосточное УГМС;58.76;134.08
Кубена (Кубина);03020100112103000005276 / 103000527;р.Кубена - д.Савинская;70118;141;4910;125.68;БС 77;25.08.1936;Действует;Северное УГМС;60.10671;40.79151
Усолка;16010200312116200036108 / 116203610;р.Усолка - с.Троицк;8361;69;9070;114.97;БС;26.08.1936;Действует;Среднесибирское УГМС;57.4187;94.83888
БЫТАНТАЙ;18040300112117700022411 / 117702241;р.Бытантай - г.п.Асар;3483;20;40000;79.74;БС;29.08.1936;Действует;Якутское УГМС;68.61;134.11
Ледь;03020300212103000032237 / 103003223;р. Ледь - д. Зеленинская;70302;42;2240;30.81;БС 77;01.09.1936;Действует;Северное УГМС;62.24781;42.65976
Орловка;13010600112115200026200 / 115202620;Р.ОРЛОВКА - ПОС.ДРУЖНЫЙ;10460;29;8740;83.76;БС;08.09.1936;Действует;Западно-Сибирское УГМС;58.7605;86.066
Оленёк;18020000112117600047229 / 117604722;р.Оленек - ГМС Сухана;3407;903;127000;44.45;БС;10.09.1936;Действует;Якутское УГМС;68.61;118.33
Цильма;03050300212103000078793 / 103007879;р. Цильма - с.Трусово;70533;54;20900;18.35;БС;10.09.1936;Действует;Северное УГМС;65.45598;51.36411
Щучья;15020300212115300034081 / 115303408;р. Щучья - пос. Щучье;11564;141;10600;2.82;БС;11.09.1936;Действует;Обь-Иртышское УГМС;67.26631;68.6668
Кумылга;05010200512107000007841 / 107000784;р.Кумылга - х.Ярской;78191;29;1220;63.91;БС;19.09.1936;Действует;Северо-Кавказское УГМС;49.99001;42.62841
Таракташ(Судак, Суук-Су);21010000512106300001370 / 106300137;р.Таракташ - г. Судак;81693;1.5;156;14.85;БС;20.09.1936;Действует;Крымское УГМС;44.84;34.98
Тым;13010900112115200033278 / 115203327;Р.ТЫМ - С.НАПАС;10489;272;24500;60.58;БС 77;25.09.1936;Действует;Западно-Сибирское УГМС;59.89089;81.99831
Хопер;05010200112107000005186 / 107000518;р.Хопер - д.Пановка;78135;893;1120;152.62;БС;25.09.1936;Действует;Приволжское УГМС;52.68473;44.35081
