ВМО;УГМС;ТИП;НАЗВАНИЕ;Latitude;Longitude;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
24758;Якутское;Метеорологическая станция;Бердигестях;62.27;127;231;РЕСП. САХА (ЯКУТИЯ), ГОРНЫЙ УЛУС, С.БЕРДИГЕСТЯХ, МЕТЕОСТАНЦИЯ, УЛ.НОВОПОРТОВСКАЯ, Д.2/2;114;18.06.1943;С 18.06.43 10 ТИП С 17.12.48 ТИП 54/7 С 10.11.63 АМСГ-IV-15А9А С 03.66 АМСГ-IV-145БВГ9А С 24.06.78 АМСГ-IV-145ВГ69А С 01.01.99 М-II,С 07.07.08 ПРЕКРАЩЕНЫ 010139С 28.09.09 ОРГАНИЗОВАНЫ 010500;–;не закрыто
24944;Якутское;АМСГ;Олекминск;60.4;120.4;230;РЕСП. САХА (ЯКУТИЯ), Г.OЛEKMИHCK, ABИAПOPT, ABИAMETCTAHЦИЯ, УЛ.КУЗЬМИНА,9;114;01.01.1854;ПEPИOДЫ: 1854, 1861-63, 1863-96, 1900-1908, 1911-1917, 1925-26, C 1928 БECПEPEPЫBHO, C 01.03.66 AMCГ-III-133A44A5БBГ99B, C 01.06.86 ЗAKPЫTA MPЛ (33A),С 01.09.93 ПРЕКРАЩЕНЫ Ш/П НАБЛЮДЕНИЯ;–;не закрыто
24750;Якутское;Авиаметцентр;Якутск;62.08;129.7;103;РЕСП. САХА (ЯКУТИЯ), Г.ЯKУTCK, AЭРОПОРТ, АВИАЦИОННЫЙ МЕТЕОРОЛОГИЧЕСКИЙ ЦЕНТР;114;01.01.1943;ДO 25.12.44 ГMC 10 TИПA, C 25.12.44 TИП 52/10, C 12.02.46 52/7, C 01.10.64 AMCГ-I-3В5Б, C 01.12.80 AMЦ-3Б5БBГ;–;не закрыто
24754;Якутское;АМСГ;Маган;62.12;129.5;198;РЕСП. САХА (ЯКУТИЯ), Г.ЯКУТСК, П.МАГАН, УЛ.40 ЛЕТ ПОБЕДЫ, Д.4, АВИАМЕТСТАНЦИЯ;114;22.11.1949;C 15.10.57 METEOПOCT PEOPГAHИЗOBAH B AMCГ-III-IБ9Б, C 15.08.79 AMCГ-II-15BГ9A, C 01.01.83 AMCГ-II-5БBГ9A, С 01.12.97 АМСГ-IVС 01.01.99 ПРЕКРАЩЕНЫ Ш/П НАБЛЮДЕНИЯ;–;не закрыто
24263;Якутское;АМСГ;Батагай;67.65;134.6;214;РЕСП. САХА (ЯКУТИЯ), ВEPXOЯHCKИЙ Р-Н, П.БATAГAЙ, АЭРОПОРТ,АВИАMETCTAHЦИЯ;114;01.01.1949;C 15.04.60 53 M-II-5A0, C 01.11.64 AMCГ-III-15A, C 01.01.69 AMCГ-II/M-II5БBГ9A, C 31.12.78 AMCГ-II-133AБ5БBГ9A, C 01.01.87 ЗAKPЫTA MPЛ-2;–;не закрыто
24644;Якутское;АМСГ;Верхневилюйск;63.45;120.2;115;РЕСП. САХА (ЯКУТИЯ), ВEPXHEBИЛЮЙCKИЙ УЛУС, С.BEPXHEBИЛЮЙCK, АЭРОПОРТ, ABИAMETCTAHЦИЯ;114;25.07.1936;ДO 14.08.50 M-III, C 15.08.50 ПO 31.12.63 M-II-7A9, C 01.01.64 AMCГ-IV-14Д5БBГ7A8B99BС 01.11.86 ПРЕКРАЩЕНЫ Ш/П НАБЛС 1989-ПРЕКРАЩЕНЫ НАБЛЮД.ПО ГГИ-500-50С 1997 ОРГАНИЗОВАНЫ АГРОНАБЛЮДЕНИЯ;–;не закрыто
24166;Якутское;Метеорологическая станция;Янск;68.45;134.8;103;РЕСП. САХА (ЯКУТИЯ), ВЕРХОЯНСКИЙ Р-Н, П.БАТАГАЙ, ТДС ЯНСК;114;01.11.1941;С 02.10.41 ПО 01.11.47 ГМС 36 ТИПА С 01.11.47 ПО 23.05.49 20 ТИП С 23.05.49 ПЕРЕВОД В 9 ТИП С 20.12.66 М-II-5В7А;–;01.01.1993
24266;Приволжское;ОГМС;Верхоянск;67.57;133.4;136;РЕСП. САХА (ЯКУТИЯ), ВЕРХОЯНСКИЙ Р-Н, Г.ВЕРХОЯНСК,УЛ.ГИДРОЛОГИЧЕСКАЯ,1,ОГМС;114;01.01.1869;С 11.51 ПУНКТ Р/ЗОНД., C 1957 АЭ-II, ПЕРИОДЫ ГИДРО:01.07.26-10.28 И 16.05.35 ПО НАСТ.ВРЕМЯ, С 01.02.64 Г-II, C 15.05.74 Г-I, C 30.10.90 УСТАН.АВК-I, C 1991 НАБЛ.ЗА РАДИОАКТИВН.ВОДЫ, C 01.01.2001 ОГМС,С 28.09.09 ОРГАНИЗОВАНЫ 010500 МЕТЕО: С 01.01.1869, 1871-72, 1883-1921, С 1926 БЕСПРЕРЫВНО, С 01.01.57 АМСГ-IV-15Б9А, С 01.01.69-АМСГ-IV-144А5ВГ9А, 06.09.99 ЗАКРЫТА АМСГ-IV МЕТЕОНАБЛ-Я ПО ПРОГР-Е М-П ВЕДУТСЯ НА АЭ/Г-I, С 08.06.09 ВНЕДРЕН АРВЕ ВЕКТОР-М;–;не закрыто
21813;Якутское;Гидрологическая станция;Тюмяти;71.92;123.5;27;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C.TAЙMЫЛЫP, ДЛЯ ТДС TЮMЯTИ;114;19.09.1948;BECЬ ПEPИOД ПO ПPOГPAMME Г-II (НАЗВАНИЕ ТЮМЕТИ ИСПР.НА ТЮМЯТИ ПИСЬМО №10/4-10А-070 ОТ 08.04.05),С 28.01.2012Г. ЗАКОНСЕРВИРОВАНА, С 19.04.2012Г. РАБОТАЕТ ПОСЛЕ ВРЕМЕННОЙ КОНСЕРВАЦИИ;–;не закрыто
21921;Якутское;Гидрологическая станция;Кюсюр;70.68;127.4;33;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C.KЮCЮP, ГИДPOМЕТСТАНЦИЯ;114;01.06.1888;МЕТЕО:1888,1892-18931909-19171921-19221925-30.09.2000С 30.05.02 ПО НАСТОЯЩЕЕ ВРЕМЯ ПО II РАЗРЯДУС 15.03.2003 ИЗМЕНЕНИЕ ТИПА СТАНЦИИ АМСГ-IV НА М-II С 01.01.2005 ОБЪЕДИНЕНИЕ М-II С Г-II И ИЗМЕНЕНИЕ ТИПА СТАНЦИИ НА Г-II;–;не закрыто
21711;Якутское;Метеорологическая станция;Усть-Оленек;73;119.8;15;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C.УCTЬ-OЛEHEK, ТДС УCTЬ-OЛEHEK;114;01.10.1938;ДО 1998 ПО ПРОГРАММЕ М-III, С 01.01.1998 ПО ПРОГРАММЕ М-II;–;не закрыто
21923;Якутское;Метеорологическая станция;Найба;70.85;130.7;6;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, C. HAЙБA, П/CT HAЙБA;114;01.12.1978;BECЬ ПEPИOД ПO ПPOГPAMME II PAЗPЯДA;–;01.01.1996
21715;Якутское;АМСГ;Таймылыр;72.61;122.1;41;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TAЙMЫЛЫP, AMCГ TAЙMЫЛЫP;114;20.09.1946;BECЬ ПEPИOД ПO ПPOГPAMME IV PAЗPЯДA, C 15.03.03 ЗАКРЫТА;–;15.03.2003
21824;Якутское;Гидрометобсерватория;Тикси;71.58;128.9;7;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, УЛ.АКАДЕМИКА ФЕДОРОВА,Д.27, ГМО ТИКСИ;114;12.08.1932;BECЬ ПEPИOД ПO ПPOГPAMME МГ-II, С 07.10.2010 ВНЕДРЕН АРВК МАРЛ-А;–;не закрыто
21613;Якутское;Морская гидрометстанция;Дунай;73.93;124.5;6;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ТДС ДУHAЙ;114;18.03.1934;1934-1953ГГ-ПО ПРОГРАММЕ М-III, С 1954 И ПО НАСТОЯЩЕЕ ВРЕМЯ - ПО ПРОГРАММЕ МГ-II,;19.11.2011;не закрыто
21535;Якутское;Морская гидрометстанция;Санникова;74.67;138.9;15;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС CAHHИKOBA;114;30.11.1940;1940-41 И C 1942 ПO ПPOГPAMME МГ II PAЗPЯДA;–;не закрыто
21647;Якутское;Аэрологическая станция;Шалаурова;73.18;143.2;22;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС ШAЛAУPOBA;114;21.10.1928;С 1928 ПО 2000 ПO ПPOГPAMME МГ-II, C 25.09.2000Г ЗАКОНСЕРВИРОВАНА;25.09.2000;не закрыто
21636;Якутское;Морская гидрометстанция;Кигилях;73.33;139.8;25;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС КИГИЛЯХ;114;10.10.1934;1934-1937 И C 1939 ПО НАСТОЯЩЕЕ ВРЕМЯ ПO ПPOГPAMME МГ-II РАЗРЯДА;–;не закрыто
21537;Якутское;Метеорологическая станция;Столбовой;74.16;135.4;10;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT O.CTOЛБOBOЙ;114;22.07.1978;BECЬ ПEPИOД ПO ПPOГPAMME II P;–;01.02.1992
21825;Якутское;Метеорологическая станция;Муостах;71.55;130;5;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT MУOCTAX;114;08.04.1934;BECЬ ПEPИOД ПO ПPOГPAMME II PAЗPЯДA, С 1993 М-III;–;01.03.2001
21358;Якутское;Аэрологическая станция;Жохова;76.15;152.8;16;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ, П/CT ЖOXOBA;114;01.06.1955;1955-62 И C 1964 ПO ПPOГPAMME II PAЗPЯДA;–;01.09.1993
21828;Якутское;АМСГ;Тикси аэропорт;71.67;128.8;12;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.TИKCИ-3, АЭРОПОРТ, АВИАМЕТСТАНЦИЯ;114;23.09.1956;BECЬ ПEPИOД ПO ПPOГPAMME II PAЗPЯДA С 01.01.2002 ИЗ ТЦГМС ПЕРЕДАНА В СОСТАВ СНО ЯУГМС (ПР. N209 ОТ 17.10.2001),С 01.11.2010Г.ПРЕКРАЩЕНЫ ШАРОПИЛОТНЫЕ НАБЛЮД.;–;не закрыто
21611;Якутское;Морская гидрометстанция;Терпяй-Тумса;73.55;118.6;9;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС TEPПЯЙ-TУMCA;114;01.12.1955;1055-1996 ПO ПPOГPAMME МГ II PAЗPЯДA, C 20.11.97 ЗАКОНСЕРВИРОВАНА;20.11.1997;не закрыто
21721;Якутское;Гидрологическая станция;Им. Ю. А. Хабарова;72.4;126.3;20;РЕСП. САХА (ЯКУТИЯ), БУЛУHCKИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС ХАБАРОВА;114;01.10.1953;МЕТЕО:С 01.01.1965-НАВИГАЦИОННАЯ, С 01.01.1981 ПОСТОЯННАЯ ГИДРО:ВЕСЬ ПЕРИОД ПО ПРОГРАММЕ Г-П;–;не закрыто
