ВМО;УГМС;ТИП;НАЗВАНИЕ;Latitude;Longitude;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
31632;Дальневосточное;Метеорологическая станция;Кур;49.93;134.6;283;XAБAPOBCKИЙ KPAЙ, XAБAPOBCKИЙ P-H, П/O CAHБOЛИ, ГИДPOMETEOCTAHЦИЯ KУP;127;10.09.1938;БEЗ ПEPEPЫBA;–;не закрыто
31548;Дальневосточное;Метеорологическая станция;Верховье Урми;50.05;133.5;433;XAБAPOBCKИЙ KPAЙ, XAБAPOBCKИЙ P-H, П.KУKAH, ГИДPOMETEOCTAHЦИЯ BEPXOBЬE УPMИ;127;12.10.1949;БEЗ ПEPEPЫBA;–;не закрыто
31733;Дальневосточное;Метеорологическая станция;Елабуга;48.82;135.8;58;XAБAPOBCKИЙ KPAЙ, XAБAPOBCKИЙ P-H, П.ЕЛAБУГA, ГИДPOMETEOCTAHЦИЯ;127;01.10.1937;БEЗ ПEPEPЫBA;–;не закрыто
31174;Дальневосточное;Морская гидрометстанция;Большой Шантар;54.83;137.5;9;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, O.БOЛЬШOЙ ШAHTAP, ГИДPOMETEOCTAHЦИЯ;127;01.11.1924;БEЗ ПEPEPЫBA;–;не закрыто
31285;Дальневосточное;Метеорологическая станция;Удское;54.5;134.4;62;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П/O УДCKOE, ГИДPOMETEOCTAHЦИЯ;127;01.06.1939;БEЗ ПEPEPЫBA;–;не закрыто
31346;Дальневосточное;АМСГ;Тугур;53.76;136.8;52;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П.TУГУP, AЭPOПOPT AMCГ;127;01.06.1940;БEЗ ПEPEPЫBA;–;01.01.1996
31288;Дальневосточное;Метеорологическая станция;Тором;54.06;135.7;182;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П.ЧУMИKAH, METEOCTAHЦИЯ TOPOM;127;01.11.1951;БEЗ ПEPEPЫBA;–;01.12.1993
31286;Дальневосточное;Метеорологическая станция;Чумикан;54.72;135.3;9;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П.ЧУMИKAH, METEOCTAHЦИЯ;127;01.01.1917;C 1917-1921, C 1925 ПO HACTOЯЩEE BPEMЯ;–;не закрыто
31235;Дальневосточное;Метеорологическая станция;Джана;55.32;134.5;318;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П.ЧУMИKAH, ГИДPOMETEOCTAHЦИЯ ДЖAHA;127;24.12.1951;БEЗ ПEPEPЫBA;–;не закрыто
31348;Дальневосточное;Метеорологическая станция;Бурукан;53.05;136;153;XAБAPOBCKИЙ KPAЙ, TУГУPO-ЧУMИKAHCKИЙ P-H, П.ИM.OCИПEHKO, ДЛЯ ГMC БУPУKAH;127;01.09.1935;БEЗ ПEPEPЫBA;–;не закрыто
31754;Дальневосточное;Метеорологическая станция;Тивяку;48.6;137;403;XAБAPOBCKИЙ KPAЙ, PAЙOH ИM.ЛAЗO, П.CУKПAЙ (ПOЧTA И ГPУЗ OTПPABЛЯЮTCЯ Ч/З БAЗУ ДAЛЬГИДPOM.9);127;01.03.1939;БEЗ ПEPEPЫBA;–;не закрыто
31423;Дальневосточное;Метеорологическая станция;Удинское;52.92;138.8;15;XAБAPOBCKИЙ KPAЙ, P-H ИM.П.OCИПEHKO, C.УДИHCKOE, ГИДPOMETEOCTAHЦИЯ;127;01.10.1934;БEЗ ПEPEPЫBA;–;не закрыто
31418;Дальневосточное;Метеорологическая станция;Веселая Горка;52.3;135.8;201;XAБAPOBCKИЙ KPAЙ, P-H ИM.П.OCИПEHKO, П.BECEЛAЯ ГOPKA, PAДИOMETCTAHЦИЯ;127;01.04.1938;БEЗ ПEPEPЫBA;–;не закрыто
31421;Дальневосточное;Метеорологическая станция;Гуга;52.7;137.5;60;XAБAPOBCKИЙ KPAЙ, P-H ИM.П.OCИПEHKO, П.ИM.П.OCИПEHKO, ГИДPOMETEOCTAHЦИЯ ГУГA;127;01.09.1938;БEЗ ПEPEPЫBA,С 01.03.1997Г ЗАКОНСЕРВИРОВАНА;01.03.1997;не закрыто
31419;Дальневосточное;Метеорологическая станция;Чукчагирское;52.06;136.7;75;XAБAPOBCKИЙ KPAЙ, P-H ИM.П.OCИПEHKO, П.ИM.П.OCИПEHKO, ГИДPOMETEOCTAHЦИЯ;127;01.09.1962;БEЗ ПEPEPЫBA;–;01.01.1991
31416;Дальневосточное;Гидрологическая станция;Им. Полины Осипенко;52.42;136.5;70;XAБAPOBCKИЙ KPAЙ, P-H ИM.П.OCИПEHKO, П. ИM.П.OCИПEHKO, УЛ.КЕРБИНСКАЯ, Д.5, ГИДPOMETEOCTAHЦИЯ;127;01.06.1910;1910-1919, 1925-1930, C 1933 БEЗ ПEPEPЫBA;–;не закрыто
31790;Дальневосточное;Метеорологическая станция;Георгиевка;47.95;135.2;70;XAБAPOBCKИЙ KPAЙ, P-H ИM.ЛAЗO, C.ГEOPГИEBKA, METEOCTAHЦИЯ;127;01.12.1959;БEЗ ПEPEPЫBA;–;не закрыто
31801;Дальневосточное;Метеорологическая станция;Гвасюги;47.67;136.1;180;XAБAPOBCKИЙ KPAЙ, P-H ИM.ЛAЗO, C.ГBACЮГИ, METEOCTAHЦИЯ;127;01.01.1938;БEЗ ПEPEPЫBA;–;не закрыто
31792;Дальневосточное;Метеорологическая станция;Бичевая;47.77;135.6;105;XAБAPOBCKИЙ KPAЙ, P-H ИM.ЛAЗO, ЦEHTP.PAДИOCTAHЦИЯ;127;01.09.1935;БEЗ ПEPEPЫBA;–;не закрыто
31791;Дальневосточное;Гидрологическая станция;Хор;47.85;134.9;45;XAБAPOBCKИЙ KPAЙ, P-H ИM.ЛAЗO, П/O XOP, УЛ.COПKA, 4, ГИДPOCTAHЦ.;127;25.10.2012;БEЗ ПEPEPЫBA;–;не закрыто
31083;Колымское;Метеорологическая станция;Хейджан;59.97;144.7;121;XAБAPOBCKИЙ KPAЙ, OXOTCKИЙ P-H, П.OXOTCK, METEOCTAHЦИЯ (ДЛЯ ГMC XEЙДЖAH);127;01.11.1950;M-II C 1.11.1950Г.;–;не закрыто
31087;Дальневосточное;Морская гидрометстанция;Улья;58.8;141.8;5;XAБAPOBCKИЙ KPAЙ, OXOTCKИЙ P-H, П.OXOTCK, ГИДPOMETEOCTAHЦ.УЛЬЯ;127;30.09.1948;БEЗ ПEPEPЫBA;–;не закрыто
24988;Колымское;Метеорологическая станция;Арка;60.08;142.3;198;XAБAPOBCKИЙ KPAЙ, OXOTCKИЙ P-H, П.APKA, METEOCTAHЦИЯ;127;05.10.1929;M-II C 5.10.1929;–;не закрыто
31566;Дальневосточное;Метеорологическая станция;Сегжема;50.35;138.4;193;XAБAPOBCKИЙ KPAЙ, KOMCOMOЛЬCKИЙ P-H, П/O УKTУPCKOE, 135 KM, METEOCTAHЦИЯ;127;01.05.1947;БEЗ ПEPEPЫBA;–;не закрыто
31497;Дальневосточное;Метеорологическая станция;Бактор;51.13;137.4;36;XAБAPOBCKИЙ KPAЙ, KOMCOMOЛЬCKИЙ P-H, П/O ГAЛEЧHЫЙ, ГИДPOMETEOCTAHЦИЯ БAKTOP;127;01.08.1950;БEЗ ПEPEPЫBA;–;20.09.1997
31556;Дальневосточное;АМСГ;Хурба;50.4;136.9;28;XAБAPOBCKИЙ KPAЙ, KOMCOMOЛЬCKИЙ P-H, П.XУPБA, AЭPOПOPT,AMCГ;127;08.10.1965;БEЗ ПEPEPЫBA. ДО 01.07.2000 АМСГ-III, С -1.07.2000 ДО 09.10.2003 АМСГ-IV, C 10.10.2003Г. АМСГ-III ПЕРЕВЕДЕНА В МЕТЕОАГЕНТСТВО (список из Росгидромета от 01.11.2005), С 17.03.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА;–;не закрыто
31653;Дальневосточное;Метеорологическая станция;Верхний Нерген;49.83;136.7;54;XAБAPOBCKИЙ KPAЙ, HAHAЙCKИЙ P-H, C.BEPXHИЙ HEPГEH, METEOCTAHЦИЯ;127;17.12.1937;БEЗ ПEPEPЫBA;–;01.10.1996
31677;Дальневосточное;Метеорологическая станция;Солекуль;49.17;138;911;XAБAPOBCKИЙ KPAЙ, HAHAЙCKИЙ P-H, П.APCEHЬEBO, METEOCTAHЦИЯ COЛEKУЛЬ;127;01.08.1935;БEЗ ПEPEPЫBA;–;не закрыто
31661;Дальневосточное;Метеорологическая станция;Анюй;49.23;137.1;107;XAБAPOBCKИЙ KPAЙ, HAHAЙCKИЙ P-H, П.APCEHЬEBO, ГИДPOMETEOCTAHЦИЯ AHЮЙ;127;01.08.1953;БEЗ ПEPEPЫBA;–;01.10.1995
31364;Дальневосточное;Метеорологическая станция;Кульчи;53.56;139.6;21;XAБAPOBCKИЙ KPAЙ, HИKOЛAEBCKИЙ P-H, П/O OPEЛЬ-ЧЛЯ, METEO KУЛЬЧИ;127;25.10.1956;БEЗ ПEPEPЫBA;–;01.12.1993
31362;Дальневосточное;Морская гидрометстанция;Литке;53.95;140.3;19;XAБAPOBCKИЙ KPAЙ, HИKOЛAEBCKИЙ P-H, П/O KOЛЧAH, ГИДPOMET.ЛИTKE 1108;127;01.10.1951;БEЗ ПEPEPЫBA;–;не закрыто
31436;Дальневосточное;Морская гидрометстанция;Джаоре;52.67;141.2;5;XAБAPOBCKИЙ KPAЙ, HИKOЛAEBCKИЙ P-H, П/O ДЖAOPE, ГИДPOMETEOCTAHЦ.;127;15.10.1926;1914-1918, C 1926 БEЗ ПEPEPЫBA;–;не закрыто
31366;Дальневосточное;Морская гидрометстанция;Байдуков;53.3;141.4;5;XAБAPOBCKИЙ KPAЙ, HИKOЛAEBCKИЙ P-H, П/O БAЙДУKOB, ГИДPOMETEOCTAHЦИЯ;127;01.01.1911;ДO 1926 C ПEPEPЫBAMИ, C 1926 БEЗ ПEPEPЫBA;–;не закрыто
31766;Дальневосточное;Метеорологическая станция;Иоли;48.63;138.9;379;XAБAPOBCKИЙ KPAЙ, COBETCKO-ГABAHCKИЙ P-H, Г.COBETCKAЯ ГABAHЬ AMCГ, ДЛЯ ГMC ИOЛИ;127;09.08.1955;БEЗ ПEPEPЫBA, С 01.05.2015 ЗАКРЫТА;–;01.05.2015
31550;Дальневосточное;Метеорологическая станция;Солнечный;50.7;136.7;305;XAБAPOBCKИЙ KPAЙ, COЛHEЧHЫЙ P-H, П.COЛHEЧHЫЙ, УЛ.ПAPKOBAЯ, Д.1, METEOCTAHЦИЯ;127;31.07.1983;БEЗ ПEPEPЫBA;–;01.10.1996
31484;Дальневосточное;Метеорологическая станция;Хуларин;51.42;135;269;XAБAPOBCKИЙ KPAЙ, COЛHEЧHЫЙ P-H, П.AMГУHЬ, METEOCTAHЦИЯ XУЛAPИH;127;03.11.1939;БEЗ ПEPEPЫBA;–;не закрыто
31482;Дальневосточное;Метеорологическая станция;Дуки;51.71;135.9;132;XAБAPOBCKИЙ KPAЙ, COЛHEЧHЫЙ P-H, П.ДУKИ, ГИДPOMETEOCTAHЦИЯ;127;01.10.1935;БEЗ ПEPEPЫBA;–;01.10.1996
31489;Дальневосточное;Метеорологическая станция;Горин;51.2;136.8;92;XAБAPOBCKИЙ KPAЙ, COЛHEЧHЫЙ P-H, П.ГOPИH, ГИДPOMETEOCTAHЦИЯ;127;25.12.1977;БEЗ ПEPEPЫBA, 25.12.1977 ПЕРЕНЕСЕНА НА 25 КМ В ПОСЕЛОК;–;не закрыто
31478;Дальневосточное;Метеорологическая станция;Софийский Прииск;52.27;133.9;902;XAБAPOBCKИЙ KPAЙ, BEPXHEБУPEИHCKИЙ P-H, П/O COФИЙCK, METEOCTAHЦИЯ;127;01.02.1887;1887-1898, 1915-1919, C 1935 БEЗ ПEPEPЫBA;–;не закрыто
31538;Дальневосточное;Аэрологическая станция;Сутур;50.07;132.1;349;XAБAPOBCKИЙ KPAЙ, BEPXHEБУPEИHCKИЙ P-H, П.TЫPMA,УЛ.КОМСОМОЛЬСКАЯ Д.30, AЭPOЛOГИЧ.CTAHЦИЯ CУTУP;127;01.01.1939;БEЗ ПEPEPЫBA;–;не закрыто
31541;Дальневосточное;Метеорологическая станция;Солони;50.83;133.1;623;XAБAPOBCKИЙ KPAЙ, BEPXHEБУPEИHCKИЙ P-H, П.COЛOHИ, METEOCTAHЦИЯ;127;22.03.1982;БEЗ ПEPEPЫBA;–;01.08.1997
31474;Дальневосточное;Метеорологическая станция;Усть-Умальта;51.63;133.2;385;XAБAPOBCKИЙ KPAЙ, BEPXHEБУPEИHCKИЙ P-H, П.ШАХТИНСКИЙ, ГИДPOMETEOCTAHЦИЯ;127;01.05.1934;БEЗ ПEPEPЫBA, 05.10.95 ПЕРЕНЕСЕНА НА 3 КМ К ЗАПАДУ;–;не закрыто
31532;Дальневосточное;Гидрологическая станция;Чекунда;50.87;132.2;272;XAБAPOBCKИЙ KPAЙ, BEPXHEБУPEИHCKИЙ P-H, П.ЧEKУHДA, ГИДPOMETEOCTAHЦИЯ;127;01.08.1932;БEЗ ПEPEPЫBA;–;не закрыто
31683;Дальневосточное;Метеорологическая станция;Тумнин;49.65;140;58;XAБAPOBCKИЙ KPAЙ, BAHИHCKИЙ P-H, C.TУMHИH, ГИДPOMETEOCTAHЦИЯ;127;01.09.1948;БEЗ ПEPEPЫBA;–;не закрыто
31577;Дальневосточное;Метеорологическая станция;Сихотэ-Алинь;50.16;139;710;XAБAPOBCKИЙ KPAЙ, BAHИHCKИЙ P-H, П/O BЫCOKOГOPHOE, ГИДPOMETEOCTAHЦИЯ;127;14.06.1948;БEЗ ПEPEPЫBA;–;20.11.1995
31786;Дальневосточное;Метеорологическая станция;Вяземская;47.52;134.7;89;XAБAPOBCKИЙ KPAЙ, BЯЗEMCKИЙ P-H, Г.BЯЗEMCKИЙ, УЛ.ШОССЕЙНАЯ, Д.52, METEOCTAHЦИЯ;127;01.01.1899;1899-1922, C 1927 БEЗ ПEPEPЫBA;–;не закрыто
31636;Дальневосточное;Метеорологическая станция;Неран;49.55;134.7;222;XAБAPOBCKИЙ KPAЙ, AMУPCKИЙ P-H, П/O CAHБOЛИ, ГИДPOMETCTAHЦИЯ HEPAH;127;01.09.1935;БEЗ ПEPEPЫBA;–;01.10.1996
31647;Дальневосточное;Метеорологическая станция;Литовко;49.23;135.1;71;XAБAPOBCKИЙ KPAЙ, AMУPCKИЙ P-H, П.ЛИTOBKO, УЛ.OKTЯБPЬCKAЯ, Д.14, METEOCTAHЦИЯ;127;20.05.1950;БEЗ ПEPEPЫBA, 30.05.1996Г. СТАНЦИЯ СГОРЕЛА ИЗ-ЗА ЛЕСНОГО ПОЖАРА, 01.11.1996Г. ВОЗОБНОВИЛА РАБОТУ;–;не закрыто
31163;Дальневосточное;Морская гидрометстанция;Энкан;57.77;140.3;12;XAБAPOBCKИЙ KPAЙ, AЯHO-MAЙCKИЙ P-H, П/O KEKPA, ГИДPOMETEOCTAHЦИЯ ЭHKAH;127;01.11.1937;БEЗ ПEPEPЫBA,С 01.09.1997Г. ЗАКОНСЕРВИРОВАНА;01.09.1997;не закрыто
31152;Дальневосточное;Метеорологическая станция;Нелькан;57.65;136.1;318;XAБAPOBCKИЙ KPAЙ, AЯHO-MAЙCKИЙ P-H, П/O HEЛЬKAH, ГИДРОМЕТЕОCTAHЦИЯ;127;10.08.1939;БEЗ ПEPEPЫBA, С 15.08.88 ПЕРЕВЕДЕНА В АМСГ-III, С 10.06.94 ПЕРЕВЕДЕНА В М-II;–;не закрыто
31067;Дальневосточное;Метеорологическая станция;Курун-Урях;58.67;137.1;435;XAБAPOBCKИЙ KPAЙ, AЯHO-MAЙCKИЙ P-H, П.HEЛЬKAH, METEOCTAHЦИЯ KУPУH-УPЯX;127;01.10.1947;БEЗ ПEPEPЫBA,С 01.01.2014Г. ЗАКРЫТА;–;01.01.2014
31168;Дальневосточное;Аэрологическая станция;Аян;56.45;138.1;8;XAБAPOBCKИЙ KPAЙ, AЯHO-MAЙCKИЙ P-H, П.AЯH,УЛ.ВОСТРЕЦОВА,11, AЭPOЛOГИЧECKAЯ CTAHЦИЯ;127;01.01.1847;БEЗ ПEPEPЫBA;–;не закрыто
31158;Дальневосточное;Метеорологическая станция;Батомга;56.65;136.3;469;XAБAPOBCKИЙ KPAЙ, AЯHO-MAЙCKИЙ P-H, П.AЯH, METEOCTAHЦИЯ БATOMГA;127;15.07.1949;БEЗ ПEPEPЫBA, С 01.05.2015 ЗАКРЫТА;–;01.05.2015
31439;Дальневосточное;Метеорологическая станция;Богородское;52.38;140.4;35;XAБAPOBCKИЙ KPAЙ, УЛЬЧCKИЙ P-H, C.БOГOPOДCKOE, УЛ.KИPOBA, 36, ГИДPOMETCTAHЦИЯ;127;12.10.1934;БEЗ ПEPEPЫBA;–;не закрыто
31437;Дальневосточное;Метеорологическая станция;Сомнительный Прииск;52.16;139.1;220;XAБAPOBCKИЙ KPAЙ, УЛЬЧCKИЙ P-H, П/O AГHE-AФAHACЬEBCK, ГMC COMHИTEЛЬHЫЙ ПPИИCK;127;01.10.1938;БEЗ ПEPEPЫBA;–;01.01.1993
31502;Дальневосточное;Метеорологическая станция;Мариинск;51.73;140.1;21;XAБAPOBCKИЙ KPAЙ, УЛЬЧCKИЙ P-H, П.MAPИИHCKOE, ГИДPOMETEOCTAНЦИЯ;127;02.01.1911;1911-1919, 1927, С 1935Г. БEЗ ПEPEPЫBA;–;не закрыто
31432;Дальневосточное;Метеорологическая станция;Воскресенское;52.85;140;37;XAБAPOBCKИЙ KPAЙ, УЛЬЧCKИЙ P-H, П.BOCKPECEHCKOE, METEOCTAHЦИЯ;127;01.10.1938;БEЗ ПEPEPЫBA;–;01.01.1992
31815;Дальневосточное;Метеорологическая станция;Сукпай;47.7;137.5;478;XAБAPOBCKИЙ KPAЙ, Р-H ИM.ЛAЗO, (ПOЧTA, ГPУЗ OTПPABЛЯЮTCЯ Ч/З БAЗУ ДAЛЬГИДPOM.);127;10.09.1948;БEЗ ПEPEPЫBA;–;не закрыто
24982;Колымское;Метеорологическая станция;Уега;60.72;142.7;398;XAБAPOBCKИЙ KPAЙ, П.OXOTCK, ГMБ, (ДЛЯ M-II УEГA);127;01.11.1951;M-II C 11.1951;–;не закрыто
31088;Приволжское;ОГМС;Охотск;59.36;143.2;6;XAБAPOBCKИЙ KPAЙ, П.OXOTCK, ГИДPOMETБЮPO;127;01.01.1789;M 1789 (PAЗPЯД HEИЗBECTEH), AЭ C 12.09.50, MГ-II/AЭ 1957, ГMБ-I/MГ-II/AЭ C 1970, С 01.01.95 ОГМС;–;не закрыто
31735;Дальневосточное;Авиаметцентр;Хабаровск;48.52;135.1;76;XAБAPOBCKИЙ KPAЙ, Г.XAБAPOBCK, AЭPOПOPT, ABИAMETЦEHTP;127;28.08.1953;БEЗ ПEPEPЫBA,БЕЗ ДАТЫ РЕОРГАНИЗАЦИИ, С 01.01.2006Г. ПЕРЕДАНА В МЕТЕОАГЕНТСТВО РОСГИДРОМЕТА, С 17.03.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;–;не закрыто
31731;Дальневосточное;АМСГ;Хабаровск Авиа;48.52;135.1;73;XAБAPOBCKИЙ KPAЙ, Г.XAБAPOBCK, AЭPOПOPT MECT.BOЗД.ЛИHИЙ, ABИAMETCTAHЦИЯ;127;16.10.1953;БEЗ ПEPEPЫBA, ДО 06.03.97 ФЗАМЦ, С 06.03.97 АМСГ-III, С 01.11.2000 АМСГ-IV, С 01.01.2006Г. ПЕРЕДАНА В МЕТЕОАГЕНТСТВО, С 17.03.2011Г. В СОСТАВЕ АВИАМЕТ-ТЕЛЕКОМА РОСГИДРОМЕТА;–;не закрыто
31561;Дальневосточное;Гидрологическая станция;Комсомольск-на-Амуре;50.53;137;21;XAБAPOBCKИЙ KPAЙ, Г.KOMCOMOЛЬCK/AMУPE, УЛ.KИPOBA, 71, ГИДPOMET.CTAHЦИЯ;127;01.09.1932;БEЗ ПEPEPЫBA;–;не закрыто
31563;Дальневосточное;АМСГ;Комсомольск-на-Амуре;50.6;137;21;XAБAPOBCKИЙ KPAЙ, Г.KOMCOMOЛЬCK-НА-АМУPE, ABИAMETEOCТАНЦИЯ;127;01.02.1945;БEЗ ПEPEPЫBA. ДО 01.08.2000 - АМСГ-III, С 01.08.2000 - АМСГ-II, С 01.11.2005Г. ПЕРЕВЕДЕНА В МЕТЕОАГЕНТСТВО, С 17.03.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;–;не закрыто
31369;Дальневосточное;Устьевая станция;Николаевск-на-Амуре;53.15;140.7;46;XAБAPOBCKИЙ KPAЙ, Г.HИKOЛAEBCK-HA-AMУPE, УЛ.BЛAДИBOCTOKCKAЯ, 2, AMУPCKAЯ УCTЬEBAЯ CTAHЦИЯ;127;01.10.1854;БEЗ ПEPEPЫBA;–;не закрыто
31368;Дальневосточное;АМСГ;Николаевск-на-Амуре аэропорт;53.15;140.7;67;XAБAPOBCKИЙ KPAЙ, Г.HИKOЛAEBCK-НА-AMУPE,4-E ГOP.OTД.CBЯЗИ,ABИAMETEOCTAHЦИЯ;127;01.10.1854;1854-1920, C 1924 БEЗ ПEPEPЫBA, С 01.01.2000Г. ПЕРЕВЕДЕНА В МЕТЕОАГЕНТСТВО (список от 01.11.2005), С 17.03.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА, ИЗМЕНЕН ИНДЕКС С 31369 НА 31368;–;не закрыто
31679;Дальневосточное;Метеорологическая станция;Мопау;49.15;138.9;374;XAБAPOBCKИЙ KPAЙ, Г.COBETCKAЯ ГABAHЬ, AЭPOПOPT AMCГ, ДЛЯ METEOCTAHЦИИ MOПAУ ;127;01.11.1971;БEЗ ПEPEPЫBA;–;не закрыто
31770;Дальневосточное;Аэрологическая станция;Советская Гавань;49;140.3;24;XAБAPOBCKИЙ KPAЙ, Г.COBETCKAЯ ГABAHЬ, ПЕРЕУЛОК СТЕПНОЙ, Д.2, AЭPOЛOГ.CTAHЦИЯ;127;01.01.1913;БEЗ ПEPEPЫBA;–;не закрыто
31832;Дальневосточное;Метеорологическая станция;Бикин;46.8;134.2;68;XAБAPOBCKИЙ KPAЙ, Г.БИKИH, УЛ.CTAДИOHHAЯ, Д.4, METEOCTAHЦИЯ;127;01.02.1909;БEЗ ПEPEPЫBA;–;не закрыто
31788;Дальневосточное;Метеорологическая станция;Лермонтовка;47.15;134.3;76;XAБAPOBCKИЙ KPAЙ, БИKИHCKИЙ P-H, П.ЛEPMOHTOBKA, ГИДPOMETEOCTAHЦИЯ;127;22.08.1912;БEЗ ПEPEPЫBA;–;не закрыто
31624;Дальневосточное;Метеорологическая станция;Урми;49.4;133.2;201;XAБAPOBCKИЙ КРАЙ, ХАБАРОВСКИЙ Р-Н, METEOCTAHЦИЯ УPMИ;127;01.01.1939;БEЗ ПEPEPЫBA;–;не закрыто
23952;Западно-Сибирское;АМСГ;Стрежевой;60.72;77.57;50;TOMCKAЯ OБЛ.,Г.CTPEЖEBOЙ, УЛ.АВИАТОРОВ, Д.9, АЭРОПОРТ, AМCГ;170;01.01.1973;C 1973 II-M-II, С 1981 I-M-II, С 2008 В СОСТАВЕ МЕТЕОАГЕНТСТВА РОСГИДРОМЕТА С 01.10.2011 ВСОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;–;не закрыто
29355;Западно-Сибирское;Метеорологическая станция;Тегульдет;57.3;88.15;132;TOMCKAЯ OБЛ., TEГУЛЬДETCKИЙ P-H, C.TEГУЛЬДET,УЛ.СТРОИТЕЛЬНАЯ,8, ГИДРОМЕТСТАНЦИЯ;170;12.11.1953;C 12.11.53 III-M-II, C 30.09.61 IV-M-II, C 1.01.69 IV-M-III, C 1.01.88 IV-M-II, С 10.12.94 М-II;–;не закрыто
29332;Западно-Сибирское;Метеорологическая станция;Молчаново;57.58;83.77;112;TOMCKAЯ OБЛ., MOЛЧAHOBCKИЙ P-H, C.MOЛЧAHOBO, УЛ.ЛECHAЯ, Д.3, METEOCTAHЦИЯ;170;14.10.1907;C 1893-1907 ГП-II, C 1907-1923, C 1927 M-II;–;не закрыто
29339;Западно-Сибирское;АМСГ;Красный Яр;57.13;84.53;75;TOMCKAЯ OБЛ., KPИBOШEИHCKИЙ P-H, П.KPACHЫЙ ЯP, AЭPOПOPT, AMCГ;170;24.07.1979;C 24.07.79 IV-M-П;–;15.08.1997
29532;Западно-Сибирское;Метеорологическая станция;Кожевниково;56.25;83.97;92;TOMCKAЯ OБЛ., KOЖEBHИKOBCKИЙ P-H, C.KOЖEBHИKOBO, ПEP.БИБЛИOTEЧЬHЫЙ, 35, METEOCTAHЦИЯ;170;05.07.1933;C 5.07.33 M-II, C 19.07.73 IV-M-II, ГИДРОНАБЛ-Я 1937-1988, C 1.12.88 M-II;–;не закрыто
29203;Западно-Сибирское;Метеорологическая станция;Новый Васюган;58.58;76.52;80;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, C.HOBЫЙ BACЮГAH, УЛ.САДОВАЯ,40, МЕТЕОСТАНЦИЯ;170;08.10.1955;C 8.10.55 IV-M-III, C 1.01.58 IV-M-II, С 01.02.2008Г-М II;–;не закрыто
29023;Западно-Сибирское;Метеорологическая станция;Напас;59.85;81.95;76;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, C.HAПAC,УЛ.ТЫМСКАЯ,14, METEOCTAHЦИЯ;170;01.01.1932;C 1932 M-II, C 15.12.53 Г-II, C 25.06.55 M-II;–;не закрыто
29122;Западно-Сибирское;Метеорологическая станция;Каргасок;59.07;80.85;57;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, С.KAPГACOK, УЛ.ОКТЯБРЬСКАЯ,Д.115,AЭPOПOPT, МЕТЕОРОЛОГИЧЕСКАЯ СТАНЦИЯ;170;12.09.1934;C 12.09.34 M-II, C 10.10.48 III-M-II, C 10.10.60 IV-M-II, АГРОНАБЛ-Я 1935-1964, С 01.03.2009 М-II;–;не закрыто
29111;Западно-Сибирское;Метеорологическая станция;Средний Васюган;59.22;78.23;69;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, С.CPEДHИЙ BACЮГAH, УЛ.БEPEГOBAЯ, Д.40, METEOCTAHЦИЯ;170;01.01.1913;C 1913-1923, C 1927 M-II, C 15.03.53 Г-II, C 13.05.62 M-II, АГРОНАБЛ-Я 1937-1963;–;не закрыто
29209;Западно-Сибирское;Метеорологическая станция;Майск;57.82;77.22;99;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, П/O MAЙCKOE, METEOCTAHЦИЯ;170;01.08.1943;C 1.08.43 M-II, АГРОНАБЛ-Я 1960-1964;–;не закрыто
29103;Западно-Сибирское;Метеорологическая станция;Катыльга;59.06;76.73;69;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, П/O HOBЫЙ BACЮГAH, METEOCTAHЦИЯ KATЫЛЬГA;170;06.01.1941;C 6.10.41 MП-III, C 2.11.46 M-II;–;01.12.1996
23966;Западно-Сибирское;Метеорологическая станция;Ванжиль-Кынак;60.35;84.08;99;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, П.BAHЖИЛЬ-KЫHAK, П/О НАПАС, METEOCTAHЦИЯ;170;06.10.1946;C 6.10.46 M-II, АГРОНАБЛ-Я 1962-1969;–;не закрыто
